############################################################################
############################################################################
## Description of Variables in Dataset #####################################
############################################################################
############################################################################
## TortID -- Tortoise identification number                               ##
## Date -- Date of capture and sampling                                   ##
## YEAR -- Year of capture and sampling                                   ##
## CL -- Carapace length in millimeters                                   ##
## Sex -- Sex of tortoise (M: Male, F: Female, Juv: Juvenile)             ##
## ELISA -- Result of ELISA test (POSITIVE, negative)                     ##
## SITE -- Study site ID (all data from CF site)                          ##
## status -- Result of ELISA test (1: M. agassizii Positive, 0: Negative) ##
## age -- Equivalent to carapace length                                   ##
############################################################################
############################################################################

TortID Date YEAR CL Sex ELISA SITE status age
CF108 5/22/05 2005 253 M POSITIVE CF 1 253
CF109 5/10/04 2004 254 M negative CF 0 254
CF109 5/26/05 2005 250 M POSITIVE CF 1 250
CF109 7/23/05 2005 257 M negative CF 0 257
CF110 5/21/06 2006 200 Juv POSITIVE CF 1 200
CF110 8/6/06 2006 200 Juv POSITIVE CF 1 200
CF111 5/12/04 2004 257 F POSITIVE CF 1 257
CF111 5/20/06 2006 256 F POSITIVE CF 1 256
CF112 5/12/04 2004 234 M POSITIVE CF 1 234
CF113 5/12/04 2004 245 F POSITIVE CF 1 245
CF113 5/21/05 2005 242 F negative CF 0 242
CF114 5/12/04 2004 283 F POSITIVE CF 1 283
CF115 5/13/04 2004 305 M POSITIVE CF 1 305
CF116 5/12/04 2004 253 M POSITIVE CF 1 253
CF116 5/26/05 2005 245 M POSITIVE CF 1 245
CF117 7/30/04 2004 161 Juv negative CF 0 161
CF117 7/23/05 2005 163 Juv negative CF 0 163
CF118 7/30/04 2004 259 M POSITIVE CF 1 259
CF119 7/31/04 2004 173 Juv negative CF 0 173
CF119 5/29/05 2005 239 M POSITIVE CF 1 239
CF120 8/1/04 2004 267 M POSITIVE CF 1 267
CF121F 5/21/05 2005 269 F POSITIVE CF 1 269
CF121F 5/20/06 2006 267 F POSITIVE CF 1 267
CF121M 8/1/04 2004 236 M POSITIVE CF 1 236
CF121M 5/26/05 2005 237 M POSITIVE CF 1 237
CF122 8/3/04 2004 257 M POSITIVE CF 1 257
CF122 5/23/06 2006 264 M POSITIVE CF 1 264
CF123 8/3/04 2004 265 F POSITIVE CF 1 265
CF124 8/4/04 2004 271 M negative CF 0 271
CF125 8/4/04 2004 192 Juv negative CF 0 192
CF126 8/5/04 2004 233 M POSITIVE CF 1 233
CF126 7/20/05 2005 225 M POSITIVE CF 1 225
CF126 5/23/06 2006 233 M POSITIVE CF 1 233
CF127 8/5/04 2004 265 F POSITIVE CF 1 265
CF127 5/26/05 2005 262 F POSITIVE CF 1 262
CF128 8/5/04 2004 275 M POSITIVE CF 1 275
